Parent_ASIN,Child_ASIN,Title,SKU,Sessions_Mobile_App,Sessions_Mobile_APP_B2B,Sessions_Browser,Sessions_Browser_B2B,Sessions_Total,Sessions_Total_B2B,Session_Percentage_Mobile_App,Session_Percentage_Mobile_APP_B2B,Session_Percentage_Browser,Session_Percentage_Browser_B2B,Session_Percentage_Total,Session_Percentage_Total_B2B,Page_Views_Mobile_App,Page_Views_Mobile_APP_B2B,Page_Views_Browser,Page_Views_Browser_B2B,Page_Views_Total,Page_Views_Total_B2B,Page_Views_Percentage_Mobile_App,Page_Views_Percentage_Mobile_App_B2B,Page_Views_Percentage_Browser,Page_Views_Percentage_Browser_B2B,Page_Views_Percentage_Total,Page_Views_Percentage_Total_B2B,Featured_Offer_Buy_Box_Percentage,Featured_Offer_Buy_Box_Percentage_B2B,Units_Ordered,Units_Ordered_B2B,Unit_Session_Percentage,Unit_Session_Percentage_B2B,Ordered_Product_Sales,Ordered_Product_Sales_B2B,Total_Order_Items,Total_Order_Items_B2B,Report_Date
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,586,20,398,53,984,73,0.5955,0.274,0.4045,0.726,1.0,1.0,769,22,483,63,1252,85,0.6142,0.2588,0.3858,0.7412,1.0,1.0,0.6878,0.4765,0,1,0.0,0.0,0.0,0.0,0,0,2022-04-01
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,399,13,466,3,865,16,0.4613,0.8125,0.5387,0.1875,1.0,1.0,553,14,734,3,1287,17,0.4297,0.8235,0.5703,0.1765,1.0,1.0,0.5971,0.4035,4,0,0.0046,0.0014,221.97,14.61,4,1,2022-04-02
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,486,16,1511,58,1997,74,0.2434,0.2162,0.7566,0.7838,1.0,1.0,518,17,1745,69,2263,86,0.2289,0.1977,0.7711,0.8023,1.0,1.0,0.6217,0.3811,12,0,0.006,0.001,371.42,9.57,12,2,2022-04-03
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,486,14,1197,52,1683,66,0.2888,0.2121,0.7112,0.7879,1.0,1.0,761,15,1457,62,2218,77,0.3431,0.1948,0.6569,0.8052,1.0,1.0,0.7658,0.7036,20,3,0.0119,0.0025,893.57,47.35,20,3,2022-04-04
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,44,19,1416,53,1460,72,0.0301,0.2639,0.9699,0.7361,1.0,1.0,52,20,1791,63,1843,83,0.0282,0.241,0.9718,0.759,1.0,1.0,0.5805,0.4133,33,2,0.0226,0.002,1576.92,8.33,33,1,2022-04-05
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,297,8,2294,36,2591,44,0.1146,0.1818,0.8854,0.8182,1.0,1.0,416,8,2732,43,3148,51,0.1321,0.1569,0.8679,0.8431,1.0,1.0,0.9864,0.808,22,1,0.0085,0.0013,1341.45,36.03,22,2,2022-04-06
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,541,9,1069,37,1610,46,0.336,0.1957,0.664,0.8043,1.0,1.0,575,9,2034,44,2609,53,0.2204,0.1698,0.7796,0.8302,1.0,1.0,0.6028,0.4111,26,1,0.0161,0.0031,1340.49,80.2,26,1,2022-04-07
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,279,0,2149,6,2428,6,0.1149,0.0,0.8851,1.0,1.0,1.0,382,0,2655,7,3037,7,0.1258,0.0,0.8742,1.0,1.0,1.0,0.9285,0.6457,9,1,0.0037,0.0003,565.32,35.92,9,0,2022-04-08
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,342,4,1548,25,1890,29,0.181,0.1379,0.819,0.8621,1.0,1.0,537,4,1962,30,2499,34,0.2149,0.1176,0.7851,0.8824,1.0,1.0,0.5388,0.4332,28,1,0.0148,0.003,1569.71,34.65,28,4,2022-04-09
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,585,0,994,56,1579,56,0.3705,0.0,0.6295,1.0,1.0,1.0,857,0,1729,67,2586,67,0.3314,0.0,0.6686,1.0,1.0,1.0,0.7587,0.5541,33,0,0.0209,0.0062,1233.02,12.89,33,5,2022-04-10
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,534,19,1918,27,2452,46,0.2178,0.413,0.7822,0.587,1.0,1.0,742,20,2774,32,3516,52,0.211,0.3846,0.789,0.6154,1.0,1.0,0.8143,0.5696,21,1,0.0086,0.0007,568.34,4.52,21,1,2022-04-11
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,166,20,2089,11,2255,31,0.0736,0.6452,0.9264,0.3548,1.0,1.0,238,22,3436,13,3674,35,0.0648,0.6286,0.9352,0.3714,1.0,1.0,0.6753,0.6194,6,0,0.0027,0.0007,179.31,0.09,6,0,2022-04-12
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,359,7,1277,43,1636,50,0.2194,0.14,0.7806,0.86,1.0,1.0,428,7,1667,51,2095,58,0.2043,0.1207,0.7957,0.8793,1.0,1.0,0.6995,0.5833,40,5,0.0244,0.0057,973.49,38.28,40,5,2022-04-13
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,340,8,871,29,1211,37,0.2808,0.2162,0.7192,0.7838,1.0,1.0,473,8,1442,34,1915,42,0.247,0.1905,0.753,0.8095,1.0,1.0,0.877,0.7863,3,1,0.0025,0.0004,112.13,5.47,3,0,2022-04-14
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,415,11,1697,26,2112,37,0.1965,0.2973,0.8035,0.7027,1.0,1.0,446,12,1924,31,2370,43,0.1882,0.2791,0.8118,0.7209,1.0,1.0,0.55,0.5323,18,3,0.0085,0.0013,464.32,12.02,18,0,2022-04-15
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,274,10,528,45,802,55,0.3416,0.1818,0.6584,0.8182,1.0,1.0,342,11,934,54,1276,65,0.268,0.1692,0.732,0.8308,1.0,1.0,0.5649,0.4967,1,1,0.0012,0.0,57.3,1.03,1,0,2022-04-16
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,515,19,64,48,579,67,0.8895,0.2836,0.1105,0.7164,1.0,1.0,630,20,106,57,736,77,0.856,0.2597,0.144,0.7403,1.0,1.0,0.5033,0.4467,2,1,0.0035,0.0007,45.0,0.12,2,1,2022-04-17
PRNT0000K5R9,B07THHK5R9,NaturaGlow Face Moisturizer SPF30,NGF-MST-001,574,19,1415,22,1989,41,0.2886,0.4634,0.7114,0.5366,1.0,1.0,806,20,2622,26,3428,46,0.2351,0.4348,0.7649,0.5652,1.0,1.0,0.6173,0.3773,9,1,0.0045,0.0012,435.04,14.31,9,0,2022-04-18
