report_date,child_asin,ppc_product,buy_box_group2,sessions_total_b2b,page_views_total_b2b,unit_session_percentage_b2b,units_ordered_b2b,ordered_product_sales_b2b,featured_offer_buy_box_percentage_b2b,segment
2022-04-01,B0CW7NNP06,0,Low Buy Box,40,56,15.0,6,127.69,75.41,B2B
2022-05-01,B0CW7NNP06,0,Low Buy Box,160,204,1.25,2,77.92,52.69,B2B
2022-06-01,B0CW7NNP06,0,Low Buy Box,142,201,0.0,0,0.0,49.37,B2B
2022-07-01,B0CW7NNP06,0,High Buy Box,128,191,1.56,2,72.66,72.67,B2B
2022-08-01,B0CW7NNP06,0,Low Buy Box,20,23,5.0,1,38.61,69.48,B2B
2022-09-01,B0CW7NNP06,0,Low Buy Box,26,39,11.54,3,99.92,37.34,B2B
2022-10-01,B0CW7NNP06,0,Low Buy Box,14,16,0.0,0,0.0,16.34,B2B
2022-11-01,B0CW7NNP06,0,High Buy Box,1,1,100.0,1,43.83,78.17,B2B
2022-12-01,B0CW7NNP06,0,Low Buy Box,147,173,3.4,5,181.6,16.16,B2B
2023-01-01,B0CW7NNP06,0,High Buy Box,32,42,3.12,1,16.98,24.5,B2B
2023-02-01,B0CW7NNP06,0,Low Buy Box,221,266,0.0,0,0.0,82.18,B2B
2023-03-01,B0CW7NNP06,0,Low Buy Box,46,59,0.0,0,0.0,10.07,B2B
2023-04-01,B0CW7NNP06,0,Low Buy Box,42,59,0.0,0,0.0,55.06,B2B
2023-05-01,B0CW7NNP06,0,Low Buy Box,7,8,57.14,4,172.87,32.63,B2B
2023-06-01,B0CW7NNP06,0,Low Buy Box,49,68,0.0,0,0.0,82.54,B2B
2023-07-01,B0CW7NNP06,0,Low Buy Box,37,41,13.51,5,181.06,70.67,B2B
2023-08-01,B0CW7NNP06,0,Low Buy Box,33,37,12.12,4,70.35,64.37,B2B
2023-09-01,B0CW7NNP06,0,Low Buy Box,15,21,40.0,6,183.9,98.2,B2B
2023-10-01,B0CW7NNP06,0,Low Buy Box,12,15,41.67,5,131.3,45.58,B2B
2023-11-01,B0CW7NNP06,0,Low Buy Box,30,35,0.0,0,0.0,71.09,B2B
2023-12-01,B0CW7NNP06,0,Low Buy Box,36,49,0.0,0,0.0,17.74,B2B
2024-01-01,B0CW7NNP06,0,Low Buy Box,9,13,22.22,2,80.15,14.08,B2B
2022-04-01,B07QKT5T4P,0,Low Buy Box,27,29,3.7,1,24.0,72.67,B2B
2022-05-01,B07QKT5T4P,0,Low Buy Box,9,10,0.0,0,0.0,52.84,B2B
2022-06-01,B07QKT5T4P,0,Low Buy Box,124,185,0.0,0,0.0,50.53,B2B
2022-07-01,B07QKT5T4P,0,Low Buy Box,14,17,0.0,0,0.0,97.29,B2B
2022-08-01,B07QKT5T4P,0,Low Buy Box,45,68,6.67,3,91.59,87.96,B2B
2022-09-01,B07QKT5T4P,0,Low Buy Box,56,78,3.57,2,61.63,4.82,B2B
2022-10-01,B07QKT5T4P,0,Low Buy Box,11,16,9.09,1,32.84,53.59,B2B
2022-11-01,B07QKT5T4P,0,Low Buy Box,3,3,33.33,1,10.38,66.28,B2B
2022-12-01,B07QKT5T4P,0,Low Buy Box,15,17,0.0,0,0.0,27.17,B2B
2023-01-01,B07QKT5T4P,0,Low Buy Box,64,75,3.12,2,56.12,40.62,B2B
2023-02-01,B07QKT5T4P,0,Low Buy Box,153,163,0.0,0,0.0,1.36,B2B
2023-03-01,B07QKT5T4P,0,Low Buy Box,30,33,3.33,1,12.84,23.24,B2B
2023-04-01,B07QKT5T4P,0,Low Buy Box,52,68,5.77,3,126.95,70.28,B2B
2023-05-01,B07QKT5T4P,0,Low Buy Box,25,38,0.0,0,0.0,79.6,B2B
2023-06-01,B07QKT5T4P,0,Low Buy Box,83,109,2.41,2,83.82,14.26,B2B
2023-07-01,B07QKT5T4P,0,Low Buy Box,29,33,0.0,0,0.0,33.29,B2B
2023-08-01,B07QKT5T4P,0,Low Buy Box,108,155,0.0,0,0.0,57.78,B2B
2023-09-01,B07QKT5T4P,0,High Buy Box,4,5,50.0,2,40.18,61.9,B2B
2023-10-01,B07QKT5T4P,0,Low Buy Box,5,5,20.0,1,18.31,57.35,B2B
2023-11-01,B07QKT5T4P,0,Low Buy Box,60,90,18.33,11,299.85,74.57,B2B
2023-12-01,B07QKT5T4P,0,Low Buy Box,73,99,0.0,0,0.0,9.1,B2B
2024-01-01,B07QKT5T4P,0,Low Buy Box,45,51,2.22,1,27.78,0.43,B2B
2022-04-01,B0HX58K320,0,Low Buy Box,30,38,0.0,0,0.0,39.04,B2B
2022-05-01,B0HX58K320,0,High Buy Box,116,162,0.0,0,0.0,75.52,B2B
2022-06-01,B0HX58K320,0,Low Buy Box,18,19,0.0,0,0.0,95.61,B2B
2022-07-01,B0HX58K320,0,Low Buy Box,200,293,1.0,2,64.85,59.93,B2B
2022-08-01,B0HX58K320,0,Low Buy Box,5,7,60.0,3,40.23,5.91,B2B
2022-09-01,B0HX58K320,0,High Buy Box,56,76,0.0,0,0.0,94.86,B2B
2022-10-01,B0HX58K320,0,High Buy Box,60,68,1.67,1,39.34,56.85,B2B
2022-11-01,B0HX58K320,0,Low Buy Box,11,15,72.73,8,354.36,32.06,B2B
2022-12-01,B0HX58K320,0,High Buy Box,104,127,4.81,5,67.62,3.99,B2B
2023-01-01,B0HX58K320,0,Low Buy Box,72,102,9.72,7,156.63,62.9,B2B
2023-02-01,B0HX58K320,0,High Buy Box,53,72,0.0,0,0.0,92.34,B2B
2023-03-01,B0HX58K320,0,High Buy Box,14,20,21.43,3,45.71,69.28,B2B
2023-04-01,B0HX58K320,0,Low Buy Box,30,34,3.33,1,21.29,15.61,B2B
2023-05-01,B0HX58K320,0,High Buy Box,5,5,100.0,5,102.5,16.27,B2B
2023-06-01,B0HX58K320,0,High Buy Box,81,119,3.7,3,36.24,38.15,B2B
2023-07-01,B0HX58K320,0,Low Buy Box,3,4,0.0,0,0.0,3.14,B2B
2023-08-01,B0HX58K320,0,Low Buy Box,267,280,0.0,0,0.0,32.99,B2B
2023-09-01,B0HX58K320,0,Low Buy Box,30,40,36.67,11,285.34,78.6,B2B
2023-10-01,B0HX58K320,0,Low Buy Box,133,189,0.0,0,0.0,86.59,B2B
2023-11-01,B0HX58K320,0,Low Buy Box,2,2,50.0,1,18.51,57.17,B2B
2023-12-01,B0HX58K320,0,High Buy Box,206,216,0.0,0,0.0,74.35,B2B
2024-01-01,B0HX58K320,0,Low Buy Box,15,17,0.0,0,0.0,98.16,B2B
2022-04-01,B0XZ19TA14,0,Low Buy Box,19,29,0.0,0,0.0,80.18,B2B
2022-05-01,B0XZ19TA14,0,Low Buy Box,63,94,1.59,1,26.63,98.33,B2B
2022-06-01,B0XZ19TA14,0,Low Buy Box,111,166,5.41,6,137.5,36.79,B2B
2022-07-01,B0XZ19TA14,0,Low Buy Box,60,83,0.0,0,0.0,74.16,B2B
2022-08-01,B0XZ19TA14,0,High Buy Box,3,3,166.67,5,129.05,78.7,B2B
2022-09-01,B0XZ19TA14,0,Low Buy Box,115,158,0.0,0,0.0,15.09,B2B
2022-10-01,B0XZ19TA14,0,Low Buy Box,48,59,2.08,1,11.07,61.95,B2B
2022-11-01,B0XZ19TA14,0,Low Buy Box,35,39,0.0,0,0.0,3.75,B2B
2022-12-01,B0XZ19TA14,0,Low Buy Box,2,2,150.0,3,70.88,34.22,B2B
2023-01-01,B0XZ19TA14,0,Low Buy Box,30,41,6.67,2,86.78,91.9,B2B
2023-02-01,B0XZ19TA14,0,Low Buy Box,66,94,7.58,5,71.64,56.04,B2B
2023-03-01,B0XZ19TA14,0,Low Buy Box,124,179,0.81,1,40.28,65.7,B2B
2023-04-01,B0XZ19TA14,0,Low Buy Box,25,37,0.0,0,0.0,27.16,B2B
2023-05-01,B0XZ19TA14,0,High Buy Box,104,125,0.96,1,40.5,66.64,B2B
2023-06-01,B0XZ19TA14,0,Low Buy Box,3,3,33.33,1,27.45,57.0,B2B
2023-07-01,B0XZ19TA14,0,Low Buy Box,10,12,70.0,7,216.46,16.03,B2B
2023-08-01,B0XZ19TA14,0,Low Buy Box,163,208,2.45,4,126.62,62.2,B2B
2023-09-01,B0XZ19TA14,0,Low Buy Box,19,26,10.53,2,31.38,18.1,B2B
2023-10-01,B0XZ19TA14,0,High Buy Box,53,61,1.89,1,35.42,6.32,B2B
2023-11-01,B0XZ19TA14,0,Low Buy Box,38,41,7.89,3,126.95,88.74,B2B
2023-12-01,B0XZ19TA14,0,Low Buy Box,152,163,1.32,2,52.61,87.07,B2B
2024-01-01,B0XZ19TA14,0,Low Buy Box,11,13,18.18,2,35.32,38.63,B2B
2022-04-01,B018811E8B,0,Low Buy Box,16,23,6.25,1,20.46,96.91,B2B
2022-05-01,B018811E8B,0,High Buy Box,0,0,0.0,1,19.41,68.13,B2B
2022-06-01,B018811E8B,0,Low Buy Box,207,287,0.97,2,56.23,18.32,B2B
2022-07-01,B018811E8B,0,Low Buy Box,24,29,4.17,1,38.55,95.54,B2B
2022-08-01,B018811E8B,0,Low Buy Box,68,88,2.94,2,62.88,92.71,B2B
2022-09-01,B018811E8B,0,Low Buy Box,46,69,2.17,1,28.94,24.54,B2B
2022-10-01,B018811E8B,0,Low Buy Box,76,107,2.63,2,34.75,1.89,B2B
2022-11-01,B018811E8B,0,Low Buy Box,18,26,11.11,2,50.3,59.62,B2B
2022-12-01,B018811E8B,0,Low Buy Box,9,13,33.33,3,62.82,46.92,B2B
2023-01-01,B018811E8B,0,High Buy Box,37,55,0.0,0,0.0,49.97,B2B
2023-02-01,B018811E8B,0,Low Buy Box,22,29,40.91,9,321.98,64.47,B2B
2023-03-01,B018811E8B,0,Low Buy Box,2,2,0.0,0,0.0,16.36,B2B
2023-04-01,B018811E8B,0,Low Buy Box,18,21,5.56,1,41.63,92.49,B2B
