report_date,child_asin,ppc_product,sessions_total_B2C,page_views_total_B2C,unit_session_percentage_B2C,units_ordered_B2C,ordered_product_sales_B2C,featured_offer_buy_box_percentage_B2C,segment,buy_box_group3
2022-04-01,B0CW7NNP06,0,4122,5949,0.07,3,140.17,37.55,B2C,Low Buy Box
2022-05-01,B0CW7NNP06,0,1175,1299,0.09,1,40.47,-6.28,B2C,High Buy Box
2022-06-01,B0CW7NNP06,0,299,382,4.35,13,276.15,2.86,B2C,Low Buy Box
2022-07-01,B0CW7NNP06,0,64,90,1.56,1,59.01,8.12,B2C,Low Buy Box
2022-08-01,B0CW7NNP06,0,5202,7566,0.35,18,916.5,7.25,B2C,Low Buy Box
2022-09-01,B0CW7NNP06,0,203,306,3.94,8,378.54,16.86,B2C,Low Buy Box
2022-10-01,B0CW7NNP06,0,2195,3297,0.0,0,0.0,-1.5,B2C,Low Buy Box
2022-11-01,B0CW7NNP06,0,314,425,1.27,4,241.54,70.33,B2C,Low Buy Box
2022-12-01,B0CW7NNP06,0,573,804,9.6,55,2357.27,51.42,B2C,Low Buy Box
2023-01-01,B0CW7NNP06,0,201,251,33.83,68,2771.82,37.28,B2C,High Buy Box
2023-02-01,B0CW7NNP06,0,1567,1726,0.38,6,194.97,-1.76,B2C,High Buy Box
2023-03-01,B0CW7NNP06,0,759,1022,0.4,3,120.11,92.08,B2C,Low Buy Box
2023-04-01,B0CW7NNP06,0,137,185,13.14,18,735.1,67.97,B2C,Low Buy Box
2023-05-01,B0CW7NNP06,0,2072,2984,0.87,18,269.87,37.13,B2C,Low Buy Box
2023-06-01,B0CW7NNP06,0,1531,1828,0.98,15,430.27,39.87,B2C,Low Buy Box
2023-07-01,B0CW7NNP06,0,2728,4115,1.83,50,946.92,8.3,B2C,Low Buy Box
2023-08-01,B0CW7NNP06,0,1618,2170,0.74,12,186.51,97.63,B2C,Low Buy Box
2023-09-01,B0CW7NNP06,0,1027,1565,1.56,16,357.12,51.6,B2C,Low Buy Box
2023-10-01,B0CW7NNP06,0,2255,2826,0.67,15,665.71,13.89,B2C,Low Buy Box
2023-11-01,B0CW7NNP06,0,417,519,12.71,53,1889.09,-4.06,B2C,Low Buy Box
2023-12-01,B0CW7NNP06,0,7193,7970,0.36,26,442.37,39.46,B2C,Low Buy Box
2024-01-01,B0CW7NNP06,0,2264,3388,0.18,4,232.21,27.38,B2C,Low Buy Box
2022-04-01,B07QKT5T4P,0,1814,2364,1.87,34,1207.83,34.67,B2C,High Buy Box
2022-05-01,B07QKT5T4P,0,1657,1764,1.69,28,644.48,-0.42,B2C,Low Buy Box
2022-06-01,B07QKT5T4P,0,1021,1286,4.11,42,2233.43,2.87,B2C,High Buy Box
2022-07-01,B07QKT5T4P,0,811,853,0.0,0,0.0,5.07,B2C,Low Buy Box
2022-08-01,B07QKT5T4P,0,1897,2454,0.47,9,557.83,95.16,B2C,Low Buy Box
2022-09-01,B07QKT5T4P,0,489,626,5.32,26,1211.8,97.54,B2C,Low Buy Box
2022-10-01,B07QKT5T4P,0,411,556,6.33,26,776.8,34.65,B2C,High Buy Box
2022-11-01,B07QKT5T4P,0,1301,1477,2.15,28,542.23,31.93,B2C,Low Buy Box
