report_date,child_asin,ppc_product,buy_box_group,sessions_total,page_views_total,unit_session_percentage,units_ordered,ordered_product_sales,featured_offer_buy_box_percentage
2022-04-01,B0CW7NNP06,0,Low Buy Box,4162,6005,0.22,9,267.86,56.48
2022-05-01,B0CW7NNP06,0,Low Buy Box,1335,1503,0.22,3,118.39,23.2
2022-06-01,B0CW7NNP06,0,Low Buy Box,441,583,2.95,13,276.15,26.11
2022-07-01,B0CW7NNP06,0,Low Buy Box,192,281,1.56,3,131.67,40.4
2022-08-01,B0CW7NNP06,0,High Buy Box,5222,7589,0.36,19,955.11,38.37
2022-09-01,B0CW7NNP06,0,Low Buy Box,229,345,4.8,11,478.46,27.1
2022-10-01,B0CW7NNP06,0,Low Buy Box,2209,3313,0.0,0,0.0,7.42
2022-11-01,B0CW7NNP06,0,Low Buy Box,315,426,1.59,5,285.37,74.25
2022-12-01,B0CW7NNP06,0,High Buy Box,720,977,8.33,60,2538.87,33.79
2023-01-01,B0CW7NNP06,0,Low Buy Box,233,293,29.61,69,2788.8,30.89
2023-02-01,B0CW7NNP06,0,Low Buy Box,1788,1992,0.34,6,194.97,40.21
2023-03-01,B0CW7NNP06,0,Low Buy Box,805,1081,0.37,3,120.11,51.08
2023-04-01,B0CW7NNP06,0,High Buy Box,179,244,10.06,18,735.1,61.52
2023-05-01,B0CW7NNP06,0,Low Buy Box,2079,2992,1.06,22,442.74,34.88
2023-06-01,B0CW7NNP06,0,Low Buy Box,1580,1896,0.95,15,430.27,61.2
2023-07-01,B0CW7NNP06,0,Low Buy Box,2765,4156,1.99,55,1127.98,39.48
2023-08-01,B0CW7NNP06,0,Low Buy Box,1651,2207,0.97,16,256.86,81.0
2023-09-01,B0CW7NNP06,0,Low Buy Box,1042,1586,2.11,22,541.02,74.9
2023-10-01,B0CW7NNP06,0,Low Buy Box,2267,2841,0.88,20,797.01,29.73
2023-11-01,B0CW7NNP06,0,Low Buy Box,447,554,11.86,53,1889.09,33.52
2023-12-01,B0CW7NNP06,0,Low Buy Box,7229,8019,0.36,26,442.37,28.6
2024-01-01,B0CW7NNP06,0,Low Buy Box,2273,3401,0.26,6,312.36,20.73
2022-04-01,B07QKT5T4P,0,High Buy Box,1841,2393,1.9,35,1231.83,53.67
2022-05-01,B07QKT5T4P,0,Low Buy Box,1666,1774,1.68,28,644.48,26.21
2022-06-01,B07QKT5T4P,0,Low Buy Box,1145,1471,3.67,42,2233.43,26.7
2022-07-01,B07QKT5T4P,0,Low Buy Box,825,870,0.0,0,0.0,51.18
2022-08-01,B07QKT5T4P,0,Low Buy Box,1942,2522,0.62,12,649.42,91.56
2022-09-01,B07QKT5T4P,0,Low Buy Box,545,704,5.14,28,1273.43,51.18
2022-10-01,B07QKT5T4P,0,Low Buy Box,422,572,6.4,27,809.64,44.12
2022-11-01,B07QKT5T4P,0,Low Buy Box,1304,1480,2.22,29,552.61,49.11
2022-12-01,B07QKT5T4P,0,High Buy Box,291,307,15.12,44,1573.03,29.34
2023-01-01,B07QKT5T4P,0,High Buy Box,2406,3095,1.0,24,614.92,29.57
2023-02-01,B07QKT5T4P,0,Low Buy Box,2074,2362,0.14,3,150.67,24.39
2023-03-01,B07QKT5T4P,0,Low Buy Box,230,299,9.57,22,994.26,37.49
2023-04-01,B07QKT5T4P,0,Low Buy Box,2740,3341,1.28,35,815.61,69.03
2023-05-01,B07QKT5T4P,0,Low Buy Box,2965,3835,1.32,39,2310.56,75.23
2023-06-01,B07QKT5T4P,0,High Buy Box,4274,4951,1.43,61,1403.07,33.23
2023-07-01,B07QKT5T4P,0,Low Buy Box,1024,1203,2.73,28,419.02,40.06
2023-08-01,B07QKT5T4P,0,Low Buy Box,4744,6154,0.08,4,114.83,51.41
2023-09-01,B07QKT5T4P,0,High Buy Box,2132,2492,0.38,8,210.11,27.9
2023-10-01,B07QKT5T4P,0,Low Buy Box,1761,2518,1.59,28,1582.03,57.42
2023-11-01,B07QKT5T4P,0,Low Buy Box,4636,5815,0.26,12,326.22,87.14
2023-12-01,B07QKT5T4P,0,Low Buy Box,1124,1361,0.36,4,133.98,25.19
2024-01-01,B07QKT5T4P,0,Low Buy Box,1348,1753,1.04,14,681.57,9.35
2022-04-01,B0HX58K320,0,Low Buy Box,5077,5887,0.16,8,358.78,34.96
2022-05-01,B0HX58K320,0,High Buy Box,5599,8450,0.04,2,36.45,69.75
2022-06-01,B0HX58K320,0,Low Buy Box,1071,1230,1.4,15,526.5,64.34
2022-07-01,B0HX58K320,0,High Buy Box,714,1059,6.44,46,750.15,27.92
2022-08-01,B0HX58K320,0,High Buy Box,633,923,7.42,47,1332.86,39.52
2022-09-01,B0HX58K320,0,High Buy Box,2567,3832,2.18,56,2702.82,93.41
2022-10-01,B0HX58K320,0,Low Buy Box,1674,2154,0.96,16,298.92,25.45
2022-11-01,B0HX58K320,0,Low Buy Box,2994,4379,0.77,23,1151.44,42.54
2022-12-01,B0HX58K320,0,High Buy Box,6012,6750,0.43,26,1003.07,28.39
2023-01-01,B0HX58K320,0,Low Buy Box,924,1294,0.76,7,156.63,54.34
2023-02-01,B0HX58K320,0,Low Buy Box,606,657,0.99,6,234.95,72.22
2023-03-01,B0HX58K320,0,Low Buy Box,292,339,2.05,6,181.05,35.55
2023-04-01,B0HX58K320,0,High Buy Box,2830,3910,0.18,5,250.79,40.92
2023-05-01,B0HX58K320,0,Low Buy Box,612,710,3.43,21,941.33,55.99
2023-06-01,B0HX58K320,0,Low Buy Box,280,355,9.29,26,1359.12,50.7
2023-07-01,B0HX58K320,0,Low Buy Box,568,793,1.94,11,573.88,19.73
2023-08-01,B0HX58K320,0,Low Buy Box,644,768,6.06,39,1250.15,55.51
2023-09-01,B0HX58K320,0,Low Buy Box,2344,2646,2.6,61,2108.05,49.21
2023-10-01,B0HX58K320,0,Low Buy Box,3644,5002,0.71,26,1402.69,45.3
2023-11-01,B0HX58K320,0,High Buy Box,1236,1908,0.49,6,154.88,37.53
2023-12-01,B0HX58K320,0,Low Buy Box,13232,18832,0.1,13,209.82,63.91
2024-01-01,B0HX58K320,0,High Buy Box,335,478,3.88,13,759.85,61.57
2022-04-01,B0XZ19TA14,0,Low Buy Box,2446,2762,1.35,33,1102.66,43.97
2022-05-01,B0XZ19TA14,0,Low Buy Box,342,464,8.19,28,867.43,83.72
2022-06-01,B0XZ19TA14,0,Low Buy Box,2242,3265,0.54,12,485.7,20.39
2022-07-01,B0XZ19TA14,0,Low Buy Box,3296,3817,0.82,27,869.42,69.71
2022-08-01,B0XZ19TA14,0,High Buy Box,70,102,72.86,51,2688.97,41.0
2022-09-01,B0XZ19TA14,0,High Buy Box,2657,3381,0.0,0,0.0,36.94
2022-10-01,B0XZ19TA14,0,Low Buy Box,2364,2873,1.52,36,1937.87,73.19
2022-11-01,B0XZ19TA14,0,Low Buy Box,361,464,0.0,0,0.0,35.8
2022-12-01,B0XZ19TA14,0,Low Buy Box,472,655,1.69,8,217.85,47.34
2023-01-01,B0XZ19TA14,0,Low Buy Box,271,373,16.24,44,1713.09,66.11
2023-02-01,B0XZ19TA14,0,Low Buy Box,694,932,1.3,9,215.86,32.39
2023-03-01,B0XZ19TA14,0,High Buy Box,1589,1787,0.25,4,192.43,28.48
