Start Date,End Date,Start Time,Portfolio name,Campaign Name,Budget,Targeting Type,Bidding strategy,Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS)
2023-09-22,2023-09-22,11,Portfolio 002,Campaign 002,3.32,Manual targeting,Dynamic bids - down only,47,1,0.021277,2.7,2.7,0.0529,18.9036
2023-09-15,2023-09-15,0,Portfolio 004,Campaign 005,8.79,Manual targeting,Dynamic bids - down only,113,1,0.00885,1.18,1.18,0.0049,204.0816
2023-09-25,2023-09-25,0,Portfolio 004,Campaign 002,2.98,Manual targeting,Dynamic bids - down only,121,1,0.008264,2.66,2.66,0.0354,28.2486
2023-09-15,2023-09-15,8,Portfolio 006,Campaign 002,2.76,Automatic targeting,Dynamic bids - down only,74,1,0.013514,1.16,1.16,0.0586,17.0648
2023-09-22,2023-09-22,18,Portfolio 006,Campaign 002,1.28,Manual targeting,Dynamic bids - down only,238,1,0.004202,2.24,2.24,0.0757,13.21
2023-09-17,2023-09-17,19,Portfolio 006,Campaign 001,11.0,Manual targeting,Dynamic bids - down only,181,0,0.0,0.0,0.0,0.0544,18.3824
2023-09-16,2023-09-16,4,Portfolio 006,Campaign 002,6.48,Manual targeting,Dynamic bids - down only,346,1,0.00289,1.98,1.98,0.0564,17.7305
2023-09-16,2023-09-16,9,Portfolio 004,Campaign 002,9.98,Manual targeting,Dynamic bids - down only,262,1,0.003817,2.49,2.49,0.0514,19.4553
2023-09-17,2023-09-17,14,Portfolio 003,Campaign 004,3.58,Manual targeting,Dynamic bids - down only,109,0,0.0,0.0,0.0,0.0143,69.9301
2023-09-17,2023-09-17,7,Portfolio 001,Campaign 001,7.82,Automatic targeting,Dynamic bids - down only,77,0,0.0,0.0,0.0,0.0857,11.6686
2023-09-19,2023-09-19,7,Portfolio 004,Campaign 003,8.92,Manual targeting,Dynamic bids - down only,191,0,0.0,0.0,0.0,0.0395,25.3165
2023-09-17,2023-09-17,21,Portfolio 001,Campaign 002,3.28,Automatic targeting,Dynamic bids - down only,347,1,0.002882,1.57,1.57,0.0705,14.1844
2023-09-25,2023-09-25,8,Portfolio 002,Campaign 004,4.08,Manual targeting,Dynamic bids - down only,269,1,0.003717,1.66,1.66,0.0476,21.0084
2023-09-23,2023-09-23,20,Portfolio 002,Campaign 002,2.56,Automatic targeting,Dynamic bids - down only,321,1,0.003115,1.6,1.6,0.0118,84.7458
2023-09-25,2023-09-25,20,Portfolio 006,Campaign 004,3.62,Automatic targeting,Dynamic bids - down only,80,1,0.0125,2.17,2.17,0.0699,14.3062
